nb_A,nb_W,nb_A_W
24514.45,1843.25,26332.85
24329.75,1829.95,26133.3
24581.85,1847.6,26404.15
24795.0,1818.0,26589.35
24112.0,1817.25,25905.2
24267.5,1817.7,26054.65
24309.6,1839.8,26116.0
24462.6,1835.65,26252.4
26502.65,1826.6,28285.0
28688.35,1894.8,30538.55
29344.1,1897.7,31195.55
29339.45,1894.1,31186.45
29331.4,1902.55,31184.0
28817.75,1912.0,30681.35
29256.75,1918.95,31132.45
29700.45,1953.7,31611.35
30055.9,1948.75,31961.75
29963.35,1952.15,31874.15
29685.95,1982.2,31627.25
29218.6,1974.65,31151.45
29018.8,1963.55,30940.6
29191.05,1963.2,31112.0
29110.5,1959.2,31027.7
29001.25,1925.25,30884.75
29040.5,1933.35,30930.9
29350.55,1973.95,31287.1
28931.75,1965.35,30862.3
28567.1,1941.15,30484.65
26257.6,1923.5,28157.5
23950.25,1843.4,25768.45
23581.3,1870.25,25426.3
24686.65,1948.5,26610.25
25424.45,1953.45,27355.8
25298.3,1921.8,27198.65
24506.4,1896.95,26379.55
24071.75,1914.75,25963.4
23759.0,1948.25,25682.1
23959.05,1930.55,25861.65
24008.85,1896.95,25877.75
23982.55,1876.0,25829.65
24035.3,1871.3,25872.4
24269.15,1889.95,26126.35
24238.1,1887.1,26089.3
24166.05,1892.7,26021.35
23908.6,1907.3,25776.2
24169.25,1917.2,26047.5
25283.05,1905.5,27141.1
25389.75,1906.3,27249.4
25875.3,1900.65,27724.8
26988.6,1932.55,28872.0
26835.85,1905.45,28694.05
25751.85,1824.4,27529.05
25351.3,1833.8,27134.0
25271.1,1825.35,27036.8
25216.05,1834.0,26988.25
24912.15,1780.7,26630.2
24791.15,1750.05,26481.9
24502.35,1744.8,26189.55
24555.75,1769.65,26263.3
25393.05,1822.5,27155.85
25999.2,1884.5,27821.15
25642.35,1878.35,27459.05
25646.75,1886.35,27474.9
25474.75,1869.65,27287.25
25525.7,1848.15,27321.25
24901.35,1827.4,26674.65
24271.6,1876.25,26098.6
24562.6,1929.0,26442.8
24073.3,1977.95,26007.4
24641.35,1946.55,26544.1
25725.2,1936.3,27619.5
25693.3,1967.55,27620.25
25333.85,1954.9,27252.05
25092.25,1947.15,27010.7
25062.25,1939.2,26971.15
25727.4,1958.7,27656.55
25831.3,1968.75,27770.5
25885.3,1984.75,27841.75
26112.7,1980.9,28070.6
27073.25,1969.5,29019.8
26424.9,1909.75,28320.9
26423.9,1908.85,28319.05
26258.8,1917.3,28162.4
26212.4,1922.45,28121.55
25940.8,1921.9,27849.05
25949.95,1899.1,27834.2
25703.25,1842.95,27532.1
25412.75,1785.45,27183.85
25543.95,1758.1,27286.95
23965.65,1757.5,25708.0
22788.15,1756.75,24528.6
23022.35,1744.95,24750.95
22953.15,1729.45,24666.25
23434.45,1738.7,25157.3
24129.45,1732.45,25852.3
23396.3,1702.9,25089.7
23351.85,1690.95,25033.2
23228.8,1702.05,24921.25
23399.45,1717.35,25106.85
21767.85,1697.2,23454.8
21653.8,1697.15,23330.95
22688.75,1705.55,24373.85
23007.0,1684.75,24668.8
23102.45,1679.25,24758.1
23081.6,1706.9,24765.2
23372.9,1729.5,25081.0
23487.35,1757.9,25226.4
23859.2,1769.95,25602.5
25168.85,1751.45,26893.55
25325.75,1765.75,27063.95
25458.15,1763.35,27193.7
25022.6,1776.2,26770.95
25437.45,1818.15,27226.75
25757.75,1865.0,27592.9
25384.05,1884.15,27236.8
25821.2,1884.35,27673.15
25725.0,1882.5,27573.4
26270.55,1857.5,28093.15
25940.05,1821.2,27726.95
25778.0,1793.65,27536.5
25907.4,1781.65,27651.15
24925.35,1774.6,26662.5
24673.35,1780.4,26417.1
24447.25,1766.2,26177.35
23868.75,1721.5,25551.2
23528.8,1675.45,25164.6
23205.1,1649.65,24814.6
22650.25,1626.7,24241.05
21021.55,1643.25,22628.05
20818.95,1621.65,22401.6
21127.25,1626.6,22716.2
23390.25,1584.05,24931.55
23306.6,1558.9,24817.6
22853.15,1505.85,24312.15
22698.25,1486.1,24138.3
22226.5,1483.4,23664.65
22040.05,1467.35,23460.6
21528.7,1475.2,22950.85
21617.7,1497.35,23061.25
21715.75,1500.3,23161.15
21716.45,1503.75,23176.85
21694.6,1499.0,23150.15
21741.0,1490.8,23185.35
22674.35,1516.75,24141.7
23316.7,1535.6,24803.75
23709.5,1563.0,25224.35
24378.4,1747.5,26077.05
24596.2,1767.75,26318.45
24927.5,1751.6,26634.05
25121.45,1766.6,26845.0
25138.6,1774.6,26861.4
23217.75,1813.75,24982.3
23073.15,1825.85,24852.55
22972.2,1828.9,24754.6
22836.85,1823.75,24612.7
