Timestamp,nb_A,nb_W,nb_A_W
2017-07-07 18:15:00,3677,343,3995
2017-07-07 18:15:30,4523,283,4784
2017-07-07 18:16:00,2636,312,2947
2017-07-07 18:16:30,7838,195,8005
2017-07-07 18:17:00,8432,146,8560
2017-07-07 18:17:30,2890,194,3064
2017-07-07 18:18:00,4541,155,4673
2017-07-07 18:18:30,4641,410,4939
2017-07-07 18:19:00,3380,77,3408
2017-07-07 18:19:30,3367,104,3470
2017-07-07 18:20:00,2112,173,2262
2017-07-07 18:20:30,3189,134,3306
2017-07-07 18:21:00,4074,157,4230
2017-07-07 18:21:30,2445,282,2727
2017-07-07 18:22:00,5487,103,5564
2017-07-07 18:22:30,4147,374,4451
2017-07-07 18:23:00,45297,184,45480
2017-07-07 18:23:30,4246,133,4378
2017-07-07 18:24:00,5115,533,5625
2017-07-07 18:24:30,6514,295,6730
2017-07-07 18:25:00,6119,287,6397
2017-07-07 18:25:30,34760,392,35134
2017-07-07 18:26:00,5726,324,6000
2017-07-07 18:26:30,4661,698,5338
2017-07-07 18:27:00,4569,305,4837
2017-07-07 18:27:30,3781,246,3936
2017-07-07 18:28:00,7782,318,8096
2017-07-07 18:28:30,5040,285,5228
2017-07-07 18:29:00,3810,128,3931
2017-07-07 18:29:30,8705,491,9003
2017-07-07 18:30:00,2566,205,2756
2017-07-07 18:30:30,5401,161,5549
2017-07-07 18:31:00,3418,142,3369
2017-07-07 18:31:30,7307,510,7779
2017-07-07 18:32:00,4297,439,4361
2017-07-07 18:32:30,5895,407,6295
2017-07-07 18:33:00,4603,250,4051
2017-07-07 18:33:30,4481,161,4450
2017-07-07 18:34:00,8465,288,8670
2017-07-07 18:34:30,5721,255,5809
2017-07-07 18:35:00,6871,212,6675
2017-07-07 18:35:30,5019,158,5168
2017-07-07 18:36:00,2786,310,3092
2017-07-07 18:36:30,3504,283,3786
2017-07-07 18:37:00,5534,188,5596
2017-07-07 18:37:30,4239,161,4269
2017-07-07 18:38:00,6384,148,6523
2017-07-07 18:38:30,2817,142,2442
2017-07-07 18:39:00,3393,97,3483
2017-07-07 18:39:30,4039,117,4142
2017-07-07 18:40:00,3336,160,3484
2017-07-07 18:40:30,5062,234,5242
2017-07-07 18:41:00,4046,272,4306
2017-07-07 18:41:30,4215,145,4301
2017-07-07 18:42:00,4298,396,4550
2017-07-07 18:42:30,3284,217,3376
2017-07-07 18:43:00,3576,304,3873
2017-07-07 18:43:30,1877,107,1980
2017-07-07 18:44:00,2591,223,2780
2017-07-07 18:44:30,4139,177,4267
2017-07-07 18:45:00,2614,144,2613
2017-07-07 18:45:30,5162,385,5500
2017-07-07 18:46:00,3844,140,3956
2017-07-07 18:46:30,3398,106,3376
2017-07-07 18:47:00,3298,236,3529
2017-07-07 18:47:30,4348,115,4459
2017-07-07 18:48:00,6730,326,7042
2017-07-07 18:48:30,3732,159,3796
2017-07-07 18:49:00,5353,265,5597
2017-07-07 18:49:30,5610,170,5762
2017-07-07 18:50:00,3767,243,3959
2017-07-07 18:50:30,8207,613,8782
2017-07-07 18:51:00,9463,773,10234
2017-07-07 18:51:30,5945,166,5944
2017-07-07 18:52:00,8805,329,9097
2017-07-07 18:52:30,5589,592,6112
2017-07-07 18:53:00,6205,401,6477
2017-07-07 18:53:30,4339,258,4535
2017-07-07 18:54:00,4074,241,4289
2017-07-07 18:54:30,4759,178,4930
2017-07-07 18:55:00,6372,434,6806
2017-07-07 18:55:30,4746,251,4991
2017-07-07 18:56:00,5528,353,5862
2017-07-07 18:56:30,6594,648,7240
2017-07-07 18:57:00,4593,342,4935
2017-07-07 18:57:30,2256,153,2400
2017-07-07 18:58:00,4371,156,4493
2017-07-07 18:58:30,6649,138,6559
2017-07-07 18:59:00,7647,318,7963
2017-07-07 18:59:30,6095,262,6355
2017-07-07 19:00:00,5862,159,6016
2017-07-07 19:00:30,3040,215,3243
2017-07-07 19:01:00,4954,319,5261
2017-07-07 19:01:30,6653,233,6852
2017-07-07 19:02:00,6102,476,6577
